Country,Code,Longitude,Latitude,Year,Month,Temperature,Tourists
Egypt,EGY,30.802498,26.820553,2016,June,29.43,329000
Jordan,JOR,36.238414,30.585164,2016,June,24.93,480800
Austria,AUT,14.550072,47.516231,2016,June,15.3,3200700
Bulgaria,BGR,25.48583,42.733883,2016,June,19.58,1300000
Argentina,ARG,-63.616672,-38.416097,2016,July,8.34,200000
Australia,AUS,133.775136,-25.274398,2016,July,13.39,700500
Canada,CAN,-106.346771,56.130366,2016,July,11.6,4501000
India,IND,78.96288,20.593684,2016,July,27.52,790000
Indonesia,IDN,113.921327,-0.789275,2016,July,26.04,940000
Japan,JPN,138.252924,36.204824,2016,July,22.52,2300000
Mexico,MEX,-102.552784,23.634501,2016,July,25.81,1907756
Spain,ESP,-3.74922,40.463667,2016,July,24.73,9545790
Switzerland,CHE,46.818188,8.227512,2016,July,18.73,2051000
United Kingdom,GBR,-3.435973,55.378051,2016,July,14.49,3800000
Turkey,TUR,35.243322,38.963745,2016,July,23.02,3500000
Egypt,EGY,30.802498,26.820553,2016,July,30.42,529000
Jordan,JOR,36.238414,30.585164,2016,July,28.51,789900
Austria,AUT,14.550072,47.516231,2016,July,19.31,5023201
Bulgaria,BGR,25.48583,42.733883,2016,July,23.56,1800000
Argentina,ARG,-63.616672,-38.416097,2016,August,10.84,200000
Australia,AUS,133.775136,-25.274398,2016,August,16.38,630000
Canada,CAN,-106.346771,56.130366,2016,August,10.44,4000000
India,IND,78.96288,20.593684,2016,August,27.09,700000
Indonesia,IDN,113.921327,-0.789275,2016,August,26.19,985000
Japan,JPN,138.252924,36.204824,2016,August,23.26,2050000
Mexico,MEX,-102.552784,23.634501,2016,August,26.46,1490400
Spain,ESP,-3.74922,40.463667,2016,August,23.37,10027470
Switzerland,CHE,46.818188,8.227512,2016,August,16.7,2020000
United Kingdom,GBR,-3.435973,55.378051,2016,August,14.78,3770000
Turkey,TUR,35.243322,38.963745,2016,August,23.06,3200000
Egypt,EGY,30.802498,26.820553,2016,August,21.54,503000
Jordan,JOR,36.238414,30.585164,2016,August,30.11,629300
Austria,AUT,14.550072,47.516231,2016,August,18.85,5254066
Bulgaria,BGR,25.48583,42.733883,2016,August,20.42,1900000
Argentina,ARG,-63.616672,-38.416097,2016,September,11.66,180200
Australia,AUS,133.775136,-25.274398,2016,September,19.16,650000
Canada,CAN,-106.346771,56.130366,2016,September,4.74,3000000
India,IND,78.96288,20.593684,2016,September,27.22,700000
Indonesia,IDN,113.921327,-0.789275,2016,September,26.6,920000
Japan,JPN,138.252924,36.204824,2016,September,19.06,1950000
